product_category,product_name,description,typical_credit_score,typical_down_payment,key_features,best_for,available_through
Conventional,Conforming Conventional,"Standard mortgage within conforming loan limits. Fixed or adjustable rate.",620+,3-20%,"Lowest rates with strong credit, PMI removable at 80% LTV, 15/20/30 year terms",Buyers with good credit and stable income,In-house (Mortgage Express)
Conventional,Jumbo,"Loan amounts above conforming limits for premium properties.",700+,10-20%,"Higher loan amounts, competitive rates, requires reserves",High-value purchases in Portland's premium neighborhoods,In-house + Wholesale partners
Government,FHA,"Government-backed with flexible credit and low down payment.",580+ (500 with 10% down),3.5%,"Lower credit requirements, seller can contribute 6% to closing costs, MIP required",First-time buyers with limited savings or lower credit,In-house (Mortgage Express)
Government,VA,"Zero down for military veterans and active duty.",No VA minimum (580+ typical),0%,"Zero down, no PMI, funding fee (waived for disabled vets), competitive rates",Active military / veterans / eligible surviving spouses,In-house (Mortgage Express)
Government,USDA,"Zero down for rural and suburban properties.",640+,0%,"Zero down, income limits apply, geographic restrictions, low MI",Buyers in eligible rural/suburban areas of Oregon and Washington,In-house (Mortgage Express)
Government,Oregon VA (ODVA),"Oregon-specific VA loan program with unique benefits.",Varies,Varies,"State-level VA program with potentially different terms than federal VA",Oregon veterans,Wholesale (ODVA)
NonQM,Bank Statement Loans,"Qualify using 12-24 months of bank statements instead of tax returns.",620+,10-20%,"No tax returns needed, great for self-employed with write-offs, 12 or 24 month options",Self-employed borrowers whose tax returns understate income,Wholesale (multiple partners)
NonQM,DSCR Loans,"Qualify based on rental property income — not personal income.",660+,20-25%,"Qualify on rent vs mortgage payment ratio, no personal income docs needed, LLCs allowed",Real estate investors building rental portfolios,Wholesale (multiple partners)
NonQM,No Income Verification,"Loans that don't require traditional income documentation.",660+,20-30%,"Asset-based or stated income, higher rates, requires strong reserves",High net worth borrowers with non-traditional income,Wholesale (Change Wholesale + others)
NonQM,ITIN Loans,"For borrowers with Individual Taxpayer ID Numbers instead of SSNs.",No SSN required,10-20%,"Accept ITIN instead of SSN, alternative credit accepted, specific lender programs",Non-citizen borrowers with ITIN numbers,Wholesale (First National Bank / Greenbox)
NonQM,Doctor / Professional Loans,"Special programs for medical professionals with student debt.",680+,0-10%,"Student loan flexibility, higher DTI allowed, may waive PMI, tailored for medical professionals",Physicians / dentists / medical professionals with high student debt,Wholesale (A Mortgage Boutique + others)
NonQM,Asset Depletion,"Qualify using liquid assets divided over loan term as income.",660+,20-30%,"Use assets as income, no employment required, ideal for retirees or high-asset borrowers",Retirees or high-net-worth individuals without traditional employment income,Wholesale (multiple partners)
NonQM,95% LTV Jumbo,"Jumbo loan with only 5% down — rare product.",700+,5%,"High loan amounts with low down payment, limited availability, strong credit required",Buyers who need jumbo but want to preserve cash,Wholesale (Greenbox)
Specialty,Construction / Renovation,"Finance new construction or major renovations in one loan.",660+,10-20%,"Single close or two-close options, fund construction draws, FHA 203k and conventional reno",Buyers building new or doing major renovation,Wholesale (AFR/Elend + others)
Specialty,Bridge Loans,"Short-term financing to bridge gap between buying and selling.",660+,Varies,"6-12 month terms, allows buying before selling current home, interest-only payments",Buyers who need to purchase before their current home sells,Wholesale (Advancial CU / Spring EQ)
Specialty,Manufactured Homes,"Financing for manufactured and modular homes on land.",620+,3.5-10%,"FHA / VA / conventional options for manufactured homes on permanent foundation, chattel options for homes in parks",Manufactured home buyers (on land or in parks),In-house + Wholesale (CMG / HomeBridge / Credit Human / Triad)
Specialty,Land Loans,"Financing for vacant land purchases.",660+,20-35%,"Raw land or improved lots, shorter terms typical, limited lender options",Buyers purchasing land for future construction,Wholesale (First National Bank)
Specialty,Reverse Mortgage (HECM),"Access home equity without monthly payments for 62+ homeowners.",N/A — age-based,N/A,"No monthly payments, multiple payout options, HUD counseling required, non-recourse",Homeowners 62+ who want to access equity,Wholesale (Longbridge / Mutual of Omaha / Plaza)
Equity,Cash-Out Refinance,"Replace mortgage with larger one and take difference as cash.",620+,20% equity retained,"Access up to 80% LTV, lower rates than consumer credit, tax-deductible interest for home improvements",Homeowners who want to access equity for renovations / debt consolidation / investment,In-house + Wholesale partners
Equity,HELOC,"Revolving credit line secured by home equity.",680+,15-20% equity,"Interest-only during draw period, variable rate (some fixed options), draw as needed",Homeowners who want flexible ongoing access to equity,Wholesale (Spring EQ / Unison / NewFi + others)
Equity,Standalone HELOC,"HELOC without touching existing first mortgage.",680+,15-20% equity,"Keep your existing low first mortgage rate, second lien position, flexible access",Homeowners with a great first mortgage rate who don't want to refinance,Wholesale (Spring EQ / Unison)
Equity,2nd Mortgage / Home Equity Loan,"Fixed-rate second lien for lump sum equity access.",660+,15-20% equity,"Fixed rate and payment, doesn't disturb first mortgage, lump sum disbursement",Homeowners who want a fixed amount at a fixed rate without refinancing,Wholesale (Brokers First / NewFi + others)
DPA,Down Payment Assistance Programs,"State and lender-specific programs to help with down payment and closing costs.",Varies by program,0-3%,"Grants or forgivable loans for down payment, income limits may apply, first-time buyer programs",First-time buyers who need help with upfront costs,Wholesale (EPM / Open Mortgage / PRMG / AFR + others)
